dialogue1|dialogue2
4 86 94 94 4404 254 106 242 37 53 15 1843 94 513 768 1780 15 395 94 4302 241 111 94 3 1617 15 55 4378 31|3 91 15 220 15 242 44 45 34 4 44 57 31
4 382 15 11703 16762 15 30 1748 6|2 28 1 6 88 170 32 7764 6
4 530 88 2 395 15 2782 31 665 15 282 50 866 816 15 11 457 44 34 35 206 80 12 4 44 32 11422 16 239 1 2 8 59 383 713 37|2 404 15 11 73 239 6 220 58 1 24 88 16 46 4 445 71 249 37
1 86 15 302 16 392 5755 2391 230 37 11 283 16 106 458 126 1876 230 288 15 172 316 45 16 8 44 88 37|7 11 44 45 102 15 62 2 8
3 162 37 62 69 794 20 429 4 71 31|6 62 33 15 162 37
5 162 37 1067 272 15 9775 2698 279 235 37 699|6 53 15 176 20 425 8636 695 34 35 865 13 20 11145 37 404 15 927 2 1067 6
1 50 37|5 5284 31
4 54 31|2 101 15 1308 224 1216 31
4 53 31 154 62 6|7 32 11 161 344 16 104 20 1673 37 496 2 496 644 15 2631 15 2465 6 6
4 53 86 6|6 2717 37 86 31 287 176 7 532 193 16 70 15 9633 37
3 382 31|1 122 31
4 50 2 20 869 37|6 11 8 358 88 57 170 35 162 1060 2107 15 836 102 31 11 283 15 70 20 11022 104
2 53 15 530 15 210 16 749 16 17 70 918 1685 388 37|7 11 102 31
2 50 129 16 291 37|6 97 15 3861 162 54 13 57 31 5502 172 37 6841 91 104 767 15 38 11 651 88 15 32 11 102 3858 458 126 23 70 35 218 514 968 4 553 435 35 1059 287 15 53 114 221 15 3858 458 126 131 70 35 218 514 111 15 28 37 11 125 126 44 57 31 11 125 126 5483 224 1059 31
1 152 6|7 457 15 11 178 150 18 31
4 35 1804 80 2703 31|6 54 15 4365 6 16 482 178 374 173 578 2143 57 463 189 35 657 31 53 97 15 40 6 91 62 6 2042 6 53 114 221 15 57 58 35 9493 11085 6
3 3861 74 1059 6 8528 6|2 5502 15 75 114 11522 15 665 1 170 97 3005 175 20 3833 38 165 425 1832 31
6 16 102 37 6 6 6|4 404 15 11 102 6 38 29 1193 6 287 204 33 45 102 15 32 16 34 4 154 5225 6 6
3 53 15 11 8 11 131 1356 31|5 191 15 3858 59 224 4495 31 50 129 16 458 126 44 37 59 189 47 4 20 3190 37 5502 37 3988 291 3 25 31 2010 244 11657 303 27 15489 318 244 20 195 924 3665 726 1059 31 2153 37 1226 3988 75 1 15 463 16 1592 71 114 724 768 37
1 86 287 15 175 20 4197 478 15 242 150 4 23 2222 217 31|4 86 31 5502 665 15 395 15 665 15 249 88 15 665 15 204 11 162 2720 224 2774 4 149 71 1876 75 38 851 15 287 3864 16 358 3858 458 126 23 118 37
2 11 34 460 103 244 767 27 515 38 120 58 325 767 6|5 32 120 4077 224 327 38 90 120 778 74 38 5960 767 75 965 80 16 37
2 14359 31|6 53 15 11 318 16 14359 6 53 91 6 62 861 13 35 641 6
5 50 37|7 176 16 879 71 552 256 15 2849 37
1 54 15 88 2 62 31 242 129 1211 540 64 6|3 17874 37
7 16 928 88 16 34 35 1762 13944 37|7 404 31 11 34 35 118 2061 80 13967 15 38 3861 293 13968 2027 80 114 839 31
1 11 44 45 102 31|7 191 15 14 31 44 45 836 46 4 882 19 37
5 11 5528 814 194 12 147 657 16 106 104 8468 32 1494 463 23 230 13 1154 3732 6|3 382 6 292 170 435 194 5707 7686 57 663 432 5695 7686 57 663 876 4 150 47 74 4 701 37
5 5502 88 381 88 204 170 458 126 44 104 1154 252 37 6 7 170 3374 19 13 71 2546 38 7 270 4 71 38 228 15 14291 250 14292 28 37 699|2 1453 6 6
2 11 322 7301 62 4 16 6 54 37 249 35 515 1174 11 170 325 326 12944 38 11 6960 35 3930 75 114 5229 38 62 168 303 3931 6983 175 20 13037 31 101 261 120 861 74 11 322 882 62 38 870 16 88 6983 6|5 3118 15 3901 62 1406 88 20 919 88 3131 20 12944 651 269 272 8 20 525 1320 37
6 282 222 16 87 35 5820 12030 75 224 562 13 235 31 226 1056 6 62 2 296 235 31 11 83 32 203 31|2 57 58 2617 6 11 283 15 62 2 509 35 1505 4000 31 11 44 45 60 125 126 344 2153 217 31
1 16 34 97 492 50 35 3200 57 332 460 31 57 58 32 775 31|4 53 86 15 162 37 58 62 204 37 86 37 54 15 191 149 71 654 57 35 8 35 425 840 4932 244 16 31
5 384 175 15 3864 23 2617 31 16 3864 358 3857 132 19 1 111 3749 244 222 272 71 15 44 836 37|4 191 15 3960 7 70 37 6
6 86 15 11 102 15 287 11 3864 358 88 1239 383 31|4 54 15 462 15 5502 50 15 3880 91 104 57 10729 27 28 37 5207 1812 15 28 37 20 2723 99 31 27 28 37 20 465 867 5207 1812 7 3347 71 75 35 10730 244 20 777 443 15 726 2723 6192 4 1989 31 32 90
7 242 106 2386 88 242 7045 300 31|1 97 15 97 15 62 170 8 1154 765 38 6549 241 5707 1037 31 62 170 35 136 252 31
2 53 162 37 261 37 44 16 125 126 44 62 13 71 37|5 54 31
2 50 37 6 172 37 172 58 57 2617 37 32 57 58 45 20 3507 526 4 24 94 31|1 53 15 62 2 59 20 3507 526 94
5 62 170 104 20 965 2235 31 261 11 21 814 31 1494 1269 62 4 240 31|4 235 15 57 58 59 10430 4 16 31 57 58 10430 4 550 6233 1694 31 10132 31
5 463 16 46 47 269 37|1 292 37
7 384 175 431 230 15 2572 31|4 53 223 16 32 277 279 7504 15 223 16 32 277 31
1 32 11 348 3905 74 4 395 15 1059 546 31|6 5917 6
4 254 129 16 18 37|6 614 15 53 15 11 349 21 35 1570 1673 15 13 9 12 64 31
7 50 129 16 578 249 37|6 53 392 15 371 482 15 242 34 45 60 145 75 754 38 105 34 240 1350 19 5119 16916 31
3 86 15 11 109 105 161 318 62 104 20 454 1757 15 16 102 37 62 332 88 226 13930 31 38 90 15 261 105 150 1217 15 105 210 48 4 88 1121 1251 88 235 559 20 540 3732 38 5153 4 31|6 404 31
7 6831 6|1 193 71 6
1 122 31|4 124 31
5 11 44 59 717 204 6|3 80 728 16 44 6 11 1962 26 6 16 17 979 104 71 6 62 27 10447 435 6 16 46 204 19 80 20 2058 31
4 54 15 11 1378 88 31|2 176 7 8 181 7169 7170 37
1 191 665 15 5502 15 11 710 4 1621 31|6 53 86 15 3903 28 15 20 9388 15 991 37
2 395 15 254 44 16 358 16 17 18 37|6 11 748 11 170 18 814 4 48 4 735 15 287 11 73 14025 1 2 24 1567 503 244 71 4 44 230 31
7 11 44 31 16 176 45 318 273 31 38 11 349 96 682 16 57 166 31 11 91 104 16 38 11 358 15 53 15 57 58 50 11 46 31|4 244 94 71 31
2 12333 71 4 20 12046 75 20 16840 31 11 83 203 15 20 2007 58 431 31 176 16 344 71 19 1 37|6 945 425 840 80 16 6
5 1942 15 29 6 1942 244 224 331 6|3 50 37 220 15 330 15 34 16 532 1378 80 7444 7445 37
1 3858 35 546 6 288 15 62 13093 3927 869 31 54 37 946 3861 35 5596 38 3929 35 6541 31|5 53 15 58 88 1392 20 2047 37
5 1453 31|3 53 31 50 44 16 44 37
7 11 3864 344 62 31 16 129 2813 13 20 1936 10 431 1 31 1936 10 15 1058 224 1278 6|3 3342 382 1365 15 392 149 71 2093 13 88 546 15 11 162 70 47 38 11 358 11 34 35 1233 31
6 53 15 86 15 166 17968 390 31|2 16 482 15 11 1471 9 1664 11168 194 88 8444 175 17969 31 463 16 1435 767 435 244 71 37
4 124 31|1 382 31 395 15 3646 15 210 11 395 15 210 11 445 4 16 244 35 1335 37
2 86 31|5 50 249 20 4251 16 34 175 20 10507 37
6 191 15 8596 58 640 15 282 8618 4285 15 7 2 70 35 10 15 10 31 282 37 7 2 32 8629 15 7 2 6119 165 8629 31|3 54 15 410 15 32 1 16 48 31 48 13 8596 31
2 86 6 38 11 21 62 175 761 15 555 31|5 288 15 11 178 48 15 525 80 20 6985 170 8 249 4 6991 35 6992 2280 31
1 53 30 13727 6|4 223 16 6 11 87 8 1587 4 20 4772 88 3062 31
5 3342 15 40 6 1 2 21 4 23 35 111 11232 31 16 210 5 767 16 87 4 654 303 4759 8429 244 224 4759 8429 2687 31|3 86 15 11 70 88 31 287 3342 15 177 33 88 2136 172 220 757 114 1927 104 224 1556 37
7 3864 16 572 224 327 104 71 6 242 34 97 2561 6 2427 3903 10567 6982 23 10568 1577 1174 15 204 3864 16 560 37 57 58 1154 252 3861 578 249 31|1 20 296 381 11 560 58 2143 10569 62 58 59 303 6263 31 57 58 261 3905 440 216 31
4 54 31 236 15 533 358 204 58 28 31 50 129 242 458 126 44 37|1 14767 15 3861 8 458 126 14768 458 126 34 4 48 882 26 38 879 26 74 6 54 37 1198 654 239 222 33 59 882 19 15 54 37
1 288 15 32 15 395 15 32 50 58 62 37|3 1112 249 62 31 3858 97 226 1056 31
6 1843 15 44 16 102 177 4 48 194 3977 4 35 5820 37|7 86 31
7 53 114 221 15 220 6|5 53 114 221 15 3729 240 6
2 695 15 11 102 105 181 16 316 45 421 224 765 15 94 695 15 320 16 1063 1064 110 46 1065 31|1 558 1066 31
4 50 37 97 6 3858 59 35 226 1056 6 11 44 88 555 15 13 114 8331 3504 31|3 162 37
2 97 15 287 11 322 157 35 2308 88 3805 70 71 28 881 4 16 6|4 12697 15 2204 15 16 482 15 3988 59 18 4 654 71 528 57 158 6
7 11 83 32 620 88 16 463 384 431 402 31|1 53 5036 15 62 2 114 1502 31
4 382 15 30 2483 31|3 97 97 97 15 2351 62 31
4 203 31 203 31|1 54 15 11 395 15 11 316 45 344 16 1865 31
3 2042 15 244 70 1577 37|1 513 4 23 4304 15 2294 31
6 1843 15 11 210 23 35 1074 15 11 210 23 35 1074 31|4 53 15 223 16 15 223 16 15 223 16 15 223 16 31 344 236 15 236 31
6 97 15 11 102 6 7309 203 15 287 20 407 11 959 26 15 11 8 125 126 2474 19 114 1217 9159 38 189 35 454 15 1926 525 31|2 191 15 881 443 224 9194 26 15 16 178 357 38 9195 883 31
5 162 15 9396 6|6 530 15 62 170 9397 6
7 58 62 1065 37 1247 6 16 180 15 235 589 31 16 129 103 104 35 216 1879 101 31|5 653 31
1 382 11 395 8 2792 435 5073 194 77|5 11 3864 358 16 176 35 165 8910 692 6
6 282 11 87 35 89 254 204 38 220 106 622 453 15 105 96 529 435 31 38 242 106 27 8 70 3374 19 15 38 163 170 166 94 31|3 11 87 20 429 89 6
2 236 15 56 2114 80 88 146 532 2518 6 105 8 452 62 175 1 244 9611 4600 6|6 172 37
1 3300 15 11 283 15 11 16714 120 2 59 5870 287 2189 37 11 94 31|4 223 16 6
3 11 3864 102 6 3858 59 70 3858 6948 6 57 58 35 2692 15 13957 2199 31 5502 37 38 20 4445 58 162 1138 4 20 641 31|2 3903 50 16 181 249 6948 31
7 348 292 37|1 2661 80 9361 37
4 50 37 40 15 50 37|1 172 44 45 16 384 15 11 283 15 533 34 63 1573 15 172 59 37
1 32 261 120 778 75 15 11 21 14946 38 84 3160 249 20 3001 31 62 1317 2255 38 8058 851 31|5 86 15 3905 458 126 353 4 344 88 5190 31
7 3275 15 16 228 1 170 35 1673 31|4 53 15 86 15 191 382 15 598 4 1154 18598 31
7 86 6 86 15 738 80 31 3861 203 31|1 13409 6 395 15 11 748 16 482 106 8 70 541 2217 15 11 87 97 492 31 50 16 102 50 37 16 482 129 25 31 395 404 15 1 58 35 13410 906 636 287 11 96 1385 62 31 16 102 172 37 946 120 58 165 8019 31 3664 15 62 3875 162 869 4 71 50 16 482 358 31 11 283 15 3861 20 525 1240 6831 15 59 16 6
5 1843 15 32 104 57 572 15 20 4300 94|2 72 15 16 102 15 242 21 62 15 242 21 62 31 149 2 1621 244 401 31 76 4301 94 226 2703 94
1 86 6 53 86 15 7105 23 159 6 14126 23 395 15 8 70 14127 3470 31 5502 37 287 95 80 8878 74 435 1198 3926 31|3 50 320 11 3823 114 281 175 20 14128 37
3 86 31 239 31|4 991 31 530 15 11 3927 358 15586 302 70 88 32 277 31
7 221 15 224 321 239 58 2036 6|5 86 15 242 106 8 578 249 88 31 11 316 45 749 177 1505 242 710 4 91 31
5 149 2 48 11106 31|3 86 6
5 410 714 31|1 276 1843 15 11 83 1197 224 4411 31 50 44 16 21 37
7 97 31 50 532 596 4 88 425 7436 31 32 1700 80 3707|4 11 3864 1520 249 20 425 7436 6 11 3997 6 11 210 59 330 4 1865 80 57 6 5502 15 20 296 297 292 302 46 4 330 4 57 58 35 2379 8449 3763 6 38 90 3858 296 946 105 150 2959 2643 2644 303 251 6 44 16 102 177 277 354 11 8696 651 885 4 16 37 2643 7471 6 38 44 16 102 261 11 827 88 19 37 657 16 106 578 6
5 124 15 2354 6|7 382 6
7 16 176 6|1 404 31 404 15 404 11 176 31 8520 62 170 15 62 170 8 35 525 187 381 31 62 2260 3 31
7 97 15 97 15 97 15 3929 30 287 15 5502 15 62 8 62 651 71 82 88 3861 8 59 15 3861 8 59 797 4 23 1240 15 5502 37|4 991 31 191 15 395 15 3903 395 15 3903 3059 31
3 462 15 16 21 22 154 57 15 11 1960 175 7454 230 31|2 382 15 482 31 3861 230 4 1435 19 114 2829 6165 31
1 32 44 45 15 11 44 45 344 172 242 34 4 48 4 57 381 288 15 62 2 224|4 946 11 3801 1160 11 302 31
4 2386|6 11834 31
1 90 177 44 16 2136 20 1771 100 37 6|6 946 3858 9163 4168 390 104 12 6 54 37 6 157 71 158 6
7 1783 378 31|4 344 37 11 349 60 1877 1783 378 6
1 3302 94 16 17 395 15 16 17 15 16 17 431 71 37|4 148 15 148 31
4 32 16 102 15 11 11 1863 75 88 5987 4902 38 11 96 21 4 744 50 16 748 31|7 11 3915 1038 62 31
6 4977 31|5 4977 15 28 15 28 31 54 15 9 64 458 126 23 1960 57 3062 31
4 236 15 177 302 16 44 57 4 71 37 57 170 27 224 492 31|6 11 102 15 11 102 15 38 11 170 458 126 150 62 287 90 7 778 75 13 57 5791 38
7 6126 94 31 191 15 457 11 73 921 493 15 287 11 94 11 293 21 1858 31|7 16 34 540 1037 37
1 355 31|7 355 31
6 1799 15 71 555 31 204 15 346 11 178 349 10853 88 11 110 23 4195 35 3954 435 2501 31|7 53 97 15 11 73 6466 8984 4
4 86 15 16 44 31|5 32 15 16 44 45 358 11 73 6706 37
1 62 2 59 35 795 6|4 54 15 54 15 54 15 159 15 11 73 458 126 91 62 435 31
2 59 88 15 57 15 240 31 53 114 221 15 204 15 18811 15 16 17 15 62 2 13231 15 1084 15 532 18812|1 2028 15 2028 15 2396 72 15 72 15 816 15 816 15 16 349 1587 18813 217 15 72 31
6 54 15 1919 6|5 1247 6 1247 6 1247 6
4 191 15 3861 203 15 11 748 16 2055 767 6|7 97 15 3342 15 3342 15 114 572 58 88 11 1317 450 74 946 15 11 1171 4 344 16 31
3 86 6 6210 6 382 15 382 204 31 1571 62 19 6 2972 2951 71 16509 5107 31|1 162 37 4641 70 918 4822 16510 31
7 62 162 123 88 37 6|6 86 31 344 37
4 124 1059 546 31|6 210 242 384 75 37
1 849 71 37|4 191 15 237 177 242 106 555 4220 4 237 383 20 187 242 106 216 37
4 122 222 6|2 382 31
7 410 15 410 15 11 73 35 3046 101 31|2 16 316 45 23 35 3046 31 16 17 597 31
5 3342 27 677 129 2977 271 1062 765 15 6908 34 4 384 435 13 35 379 454 795 244 50 11 51 49 31 261 11 170 75 76 77 15 7 710 4 384 4 27 80 114 6632 10303 1646 464 35 2036 14696 14697 31 5502 3858 775 648 4 23 779 31 3988 10222 31 3988 325 14698 224 184 3801 88 16 302 1989 734 6 38 16 91 435 734 20 908 38 3857 224 185 14699 16 175 1646 464 14700 14701 31 7 170 325 35 14702 13 401 5138 88 7 322 674 1278 19 4 224 1037 464 35 2669 4571 6|2 382 15 20 572 58 88 7 170 104 945 525 80 224 6632 10303 38 7 170 1 14699 16 175 6 54 37 3903 35 15 3903 35 190 640 185 31
7 846 15 129 16 10449 31|7 149 2 870 592 31
3 7 3160 4 157 726 3152 2709 6|1 7 176 45 150 20 3161 6
5 88 2 833 80 35 10882 416 15 44 45 16 358 37|6 1227 175 16 31
2 191 62 176 45 6|4 50 37 6
7 11 102 31 88 2 50 11 183 47 31|5 162 31
3 292 8198 15793 37|1 5073 15794 31
2 11 3997 749 16 306 57 31|4 162 6 221 204 15 50 106 16 486 37 11 102 3858 162 7315 15 287 35 574 80 71 1015 26 217 31
3 27 28 462 15 1498 19 224 2033 6|6 53 31
7 20 2221 58 92 20 387 15 4 224 168 31|7 11 302 34 183 26 4 44 62 555 31
3 91 15 3861 664 16 320 11 452 114 1278 175 114 2797 28 230 62 3875 1159 88 1060 31|6 382 6 346 7105 1265 6
6 53 203 15 535 6|7 53 97 31
5 20 1878 2189 925 38 10900 31|2 3903 277 111 31
5 86 15 204 316 45 48 32 62 2 561 114 1076 6943 18918 292 332 3974 891|3 1843 15 395 15 382 2153 15 320 16 87 303 1312 864 4 20 5062 1403 38 16 87 4
2 11 283 15 27 3861 1915 244 58 8 35 425 12165 6 58 88 555 277 4 504 867 2294 567 37 6 11 283 50 37 10147 220 38 11 59 464 903 464 16 482 37 6 11 283 44 242 59 34 464 277 503 37 6 3864 11 2213 35 372 9341 37 6 6 11 283 3054 183 29 15 7 4275 726 1216 19 6|3 382 6 11 176 59 3571 114 1216 19 6 6 384 175 6 3858 70 20 570 80 303 9297 6 97 269 12166 38 12167 6 6
4 54 204 15 210 11 395 15 210 11 504 16 24 37|1 86 31
3 11 3045 62 170 249 47 35 425 31|2 320 16 302 154 486 249 204 244 525 1183 16 302 1385 88 1 129 640 482 6274 6 11 283 15 91 6 91 15 6767 6 11 283 15 7 2 30 15 7 2 1762 31
2 97 6 3342 6 7 58 84 9551 31 11 1877 20 3693 292 14983 26 4 71 31 7 228 15 14984 6 3925 6 699|6 54 31 54 15 287 16 3997 3075 26 147 31
7 395 15 2033 37|6 2033 6 404 15 2033 31
6 54 31 38 15 114 15 700 15 115 15 123 15 16 15 129 15 62 31 11 73 13 220 31|2 640 31 62 2 3895 2687 27 431 217 31
3 148 6 6|5 1 62 58 31
6 48 13541 6 287 114 572 58 15 1843 32 120 5735 767 287 120 1440 529 435 13 767 31 346 120 2 103 4 15 16 102 15 17262 62 13 9 6540 1907 5799 31|1 86 15 346 31 11 44 34 114 379 1072 75 965 80 71 31 11 283 15 11 210 622 3575 35 7885 7385 31 442 20 186 63 1043 11 349 3115 106 17263 17264 31
1 382 31|7 382 31
3 242 8 21 20 4222 31|6 58 7 72 37
7 20 1059 2 281 58 5078 31|2 53 6 53 114 221 6 88 58 20 1401 488 1964 80 35 281 11 34 532 682 6 235 15 16 34 4 344 57 6
6 232 650 882 6 530 6 53 11 3045 57 332 35 640 641 555 6|4 53 62 33 15 62 33 6 62 58 35 253 12748 12749 194 4144 514 31
5 279 3977 15 3978 62 18 15 2652 37|7 148 15 3858 460 111 31 20 3979 3688 3689 3924 129 75 31
1 6753 15 261 395 15 261 106 242 175 35 258 37|5 237 88 162 2188 663 15 16 1698 435 38 326 740 106 3130 224 1725 37
4 236 37 6 40 13495 120 8 15 120 228 88 29 170 47 10380 31|1 148 15 11 3864 358 32 31
4 50 37|1 58 851 54 37
2 54 15 7309 203 31 16 38 29 15 224 667 5035 175 57 5306 381 15 50 16 353 4 44 58 4 421 20 1625 31 881 443 16 344 26 357 4 150 26 578 249 24 713 31|4 53 86 31 88 967 2061 31
6 27 28 15 3936 344 16 1694 90 31|3 27 28 31
4 150 20 167 19 80 1 15 5502 37|1 9966 37 9966 37 3861 450 75 31
1 16966 15 7856 17354 1179 31 382 6|7 122 6
6 86 15 11 1223 20 15243 175 224 151 675 38 11 12829 20 1184 4 4139 16 19 6|2 32 15 176 16 63 34 503 37
7 191 80 728 59 15 287 16 106 165 410 31|3 152 6
7 86 15 8 15 11 131 70 11 73 249 35 1311 31 11 748 11 170 8 525 80 20|2 384 230 31 11 161 654 16 131 70 525 80 20 482 31 16 102 244 35 162 1486
3 50 7822 291 37|5 67 35 6632 31
7 3861 35 2501 31|4 28 6 28 6 533 457 2260 75 224 5240 443 15 44 16 2673 37 44 16 6667 37 241 44 16 8 459 19 13 224 2253 241 1908 37
6 53 15 11 44 45 102 15 11 44 45 102 15 58 45 88 35 425 2857 37|2 11 4664 4 235 6 72 15 2391 175 94
7 239 31|2 32 15 4067 20 982 48 431 37 162 37 6 410 31 32 16 2416 71 918 190 360 31 86 15 3871 460 486 35 206 249 16 555 31 11 102 31 3858 775 57 379 7742 381 31 3858 35 795 6
6 54 15 346 504 57 10 31|7 16 15 150 19 80 114 3503 6
4 129 552 80 16 482 1375 402 37 114 4174 58 13405 57 5701 9360 244 11055 677 38 20 269 64 11 879 15 20 111 11 91 31 32 15 222 37 235 37|5 191 15 222 38 235 3997 48 31 3905 18 4 65 237 37 6
4 11 87 35 252 31|2 27 28 15 8 876 4 500 303 3059 4453 31
2 29 6 3866 1960 6 16 302 91 410 75 88 31|3 53 15 177 1060 58 62 37
6 53 91 3858 6788 6|7 91 6 3858 20 1409 2933 6
6 53 114 221 15 3866 59 60 9430 75 726 776 443 31 11 302 553 383 4 59 23 9430 75 114 776 443 6|2 54 31 665 15 236 15 16 3336 555 31
7 50 596 37|7 191 242 94 242 293 529 435 31
2 5502 15 11 296 102 80 63 13389 1199 4 434 35 644 435 31 38 525 80 767 58 68 31|4 3960 20 540 525 37
7 29 31|3 86 37
5 38 11 170 35 1910 2894 38 11 607 47 4 47 3477 253 38 228 818 31|3 53 31
5 320 88 31|4 122 6 53 15 204 15 3864 1112 15 242 34 88 12806 3409 961 6
3 34 35 2166 31 186 187 15 11 2169 4 598 16 734 114 911 94 38 95 15 16 18227 71 94 11 210 59 12153 57 31|7 129 16 3203 244 9 162 1060 18228 2199 37
3 53 15 122 15 11 73 29 31 114 1505 1037 129 6164 57 1757 31 292 129 16 37|7 11 73 18402 31 114 1505 765 129 7390 57 1757 31
2 58 224 2021 5746 435 37|1 1107 88 241 114 139 58 440 5747 31
2 54 15 44 45 847 88 2942 31 16 102 11 318 16 31|5 11 318 16 555 31 38 94 11 70 16 464 35 1076 31
6 11 8 2287 32 1060 15 1283 57 31 32 11 8 4335 26 35 425 24 15 16 102 31 464 461 464 11 73 74 75 513 241 2294 988 15 62 322 23 72 31|3 54 15 320 204 38 220 504 15 11 349 460 230 20 379 443 31 20 379 443 6
7 3858 70 3988 35 900 297 31 220 15 16 558 150 35 15756 31 16 3864 102 177 13395 57 58 18 4 23 31 11 283 261 16 106 35 1059 11 87 1700 443 451 15 11 87 550 15757 31|4 550 15757 6 53 86 15 120 170 263 31 120 2951 71 3939 31 11 457 358 11 237 9 80 62 15 15758 15759 15760 15761 31
1 91 15 3861 203 287 7443 111 48 462 31|6 27 28 15 191 11 8 1171 4 181 223 16 866 15 244 13753 13750 7173 31
4 50 37 292 37|1 20 10 16 980 224 202 4 31
7 404 31|6 11 102 292 62 58 16 2238 71 80 31 3986 6256 31 6257 15 88 2 107 120 21 20 2828 1725 5889 31 101 120 278 70 6258 4721 31
3 395 15 245 31|1 245 31
6 1843 15 1494 58 175 1062 526 4 6509 252 54 31 38 11 34 4 10137 1494 15 72 31 32 320 16 3864 553 71 88 202 90 3861 18 4 384 431 1 38 5727 224 8238 1650 27 20 526 4 454 10611 31|7 7211 435 31
2 86 15 1357 217 15 11 83 203 31 223 16 31 1919 31 11 8 87 4 1727 92 35 692 9311 35 2579 244 9312 64 31|4 53 114 221 6 50 596 37
6 53 15 11 178 48 15 555 31 53 15 101 94 961 44 16 482 125 126 1053 35 2985 4 20 2984 241 178 6642 38 11 8 1102 16 1 31|6 6642 37 37 292 2 6642 37
2 32 37 44 16 358 242 178 150 62 37|5 11 15560 16025 13230 102 31 50 44 16 358 37
5 88 2 172 1154 439 9093 91 70 71 38 17457 204 6|3 384 175 15 11 161 870 16 482 254 4 1571 75
6 86 29 88 58 32 2504 6|3 177 249 35 11407 175 20 1757 1059 37
4 53 114 221 6 236 91 15 3858 204 38 88 546 31|6 97 6 97 6 91 104 88 6 3858 35 729 80 8793 6 3877 1960 464 35 1415 6
7 11 348 7 33 45 102 31|3 191 15 7 2 458 126 31 11 161 344 16 35 425 674 15 1843 37 382 15 177 836 1130 265 37
4 17270 204 58 20 770 80 114 939 6 16 102 94 38 11 94 46 26 4 5501 435 13 584 80 893 6 11 8 94 27 11 73 340 58 94 11 44 45 358 88 29 38 13541 34 383 75 2448 31|1 53 15 11 44 45 102 15 105 890 4 34 35 9715 5134 75 1563 540 2 9829 94
4 53 6 53 15 11 73 32 166 31|1 90 11 73 166 555 31
5 84 31 11 87 68 75 76 77 94|1 71 555 31 11 73 410 104 62 31
4 86 15 54 15 11 161 344 16 674 31|5 53 382 6 1 2 9 677 1028 75 20 1739 15 16 125 126 48 92 1 38 553 767 35 5104 15 6509 1062 390 37
1 230 62 861 31|7 57 58 35 640 2058 31
2 236 15 224 1725 58 159 6 384 175 15 2114 80 57 146 58 18 4 1993 4 16 6 154 449 509 35 1059 6|6 53 15 3059 16 178 193 71 88 6 101 88 11 1093 96 34 525 6
1 54 15 91 15 533 102 50 16 482 129 18 4 181|6 16 63 322 34 165 10004 2354 31
5 62 2 35 2704 14321 12601 3600 94 91 445 4 222 15 120 2 175 20|5 29 15 29 31 382 15 9 546 8 607 435 4 71 38 228 15 764 46 16 14826 15 265
5 597 38 35 250 988 80 3743 3744 15 3745 3744 15 3746 3744 94 38 50 44 11 3747 37 1466 129 3748 3749 244 35 1072 75 3750 3679 244 35 3751 3752 3753|6 88 2 32 640 6 43 16 921 102 177 4 44 88 6
7 53 15 86 31 87 88 89 31|5 90 11 91 92 15 38 11 82 1 2 35 93 94 1 31
6 149 2 344 6 53 15 16 102 292 2 640 37 2972 16148 31|3 16148 94
4 9445 40 6 29 97 40 62 58 31 3858 24 31 6862 665 3858 114 4174 31|3 86 37
5 2042 3284 31|3 11 102 6 86 15 287 15 91 11 210 2900 62 31 27 28 37 91 15 11 210 330 4 20 5691 15 991 37 38 204 980 71 57 640 3056 31
1 1151 15 614 15 395 15 242 1150 242 110 1152 20 1153 80 1154 1155 453 31 360 421 15 658 13 20 1156 31 11 749 1148 2 175 20 1157 37|7 203 249 88 31 32 31 50 34 16 460 435 4 37
6 54 15 159 15 11 161 1876 31 72 15 16 44 45 34 4 16346 31 254 37 54 31 223 16347 31|3 108 16 482 651 62 31 462 15 292 20 167 418 16348 6
4 86 15 50 2 62 249 37|1 10817 194 141 20 7888 31
6 153 15 11 8 138 19 245 424 31 88 316 45 23 410 31|3 382 15 396 6
1 53 15 44 16 15 44 16 162 37|3 86 15 11 73 94 11 73 833 80 67 35 425 865 31
1 11 10460 921 403 235 31|3 50 37 6 7 21 4 44 62 104 224 777 252 6
4 86 15 28 31 239 6|2 162 15 220 15 11 170 486 80 16 20 379 443 31 91 15 11 73 203 15 27 28 31 11 96 2260 244 16 4 882 19 6
3 35 15974 31|6 53 31
6 11 748 16 228 16 1038 62 75 76 77 31|4 191 86 15 287 90 11 2728 11 248 62 38 1 170 57 11207 11208 38 11 170 15 11 170 175 1964 80 20 11209 287 11210 15 50 58 57 3056 249 37
1 11 44 45 102 15 11 44 45 150 15 11 44 45 150 62 15 11|6 459 75 1 15 62 2 458 126 1993 31 204 276 3302 15 1843 15 101 177 44 16 102 88 37
1 38 50 129 16 18 4 44 244 26 37|6 3861 18 4 149 26 31
7 27 28 6 6|5 53 15 410 692 1907 31
6 152 31|2 11 316 45 749 57 6 57 58 70 20 531 187 532 6
6 191 91 97 7455 15 57 7456 1065 6 4389 31|2 58 57 20 525 88 11 2908 19 186 444 37
1 382 6|4 86 31
4 16 106 13 5218 37|2 91 15 261 62 248 11 170 8 876 4 23 30 4 47 946 120 170 114 238 2 1908 31 38 90 15 525 381 5343 4 232 38 15 107 11 169 62 15 242 106 94 1319 31
2 5502 120 332 12445 12446 80 760|4 53 86 15 410 500 816 31
